Feature,Importance
contrast_7_std,0.30955422
contrast_7_mean,0.04114697
mfcc_13_std,0.032738216
mfcc_11_std,0.03073469
mfcc_12_std,0.02429891
contrast_6_std,0.02361501
mfcc_7_mean,0.020911444
mfcc_2_std,0.020371944
zcr_std,0.018933456
mfcc_3_std,0.01887813
contrast_5_mean,0.017849963
contrast_6_mean,0.01778798
mfcc_4_mean,0.017530164
mfcc_1_mean,0.017431876
bandwidth_mean,0.016095148
mfcc_4_std,0.012926639
chroma_3_mean,0.012012316
contrast_4_mean,0.011377932
chroma_7_mean,0.010852742
mfcc_8_mean,0.010584982
contrast_5_std,0.009832356
rms_std,0.009809312
rms_mean,0.00964254
mfcc_9_std,0.009308548
centroid_std,0.009026121
zcr_mean,0.008901166
mfcc_11_mean,0.008558655
chroma_6_mean,0.008487398
mfcc_3_mean,0.008410686
mfcc_2_mean,0.007957119
mfcc_5_mean,0.0076899463
contrast_1_std,0.00757369
contrast_2_mean,0.007338209
mfcc_13_mean,0.007245717
chroma_1_mean,0.00682875
mfcc_12_mean,0.0067743477
rolloff_mean,0.006727709
mfcc_10_std,0.006637594
mfcc_5_std,0.0062096976
mfcc_8_std,0.0060104704
mfcc_1_std,0.005948008
mfcc_10_mean,0.0058220667
bandwidth_std,0.0056892983
chroma_11_mean,0.005674075
chroma_2_mean,0.005430229
centroid_mean,0.0054276325
contrast_3_std,0.005321725
contrast_3_mean,0.005310493
chroma_3_std,0.005302468
contrast_1_mean,0.005275798
rolloff_std,0.005044622
mfcc_9_mean,0.0050091613
chroma_7_std,0.004927036
chroma_8_mean,0.004915506
mfcc_6_mean,0.0048842463
chroma_9_std,0.0048502036
chroma_11_std,0.0046712286
chroma_1_std,0.004603855
chroma_4_mean,0.0045873746
contrast_2_std,0.0045608114
mfcc_6_std,0.0044121686
chroma_8_std,0.0042426656
chroma_10_mean,0.0041426336
chroma_2_std,0.0040520243
chroma_12_std,0.003967206
chroma_12_mean,0.0038872242
contrast_4_std,0.0037766322
chroma_5_mean,0.003756569
chroma_5_std,0.0036898418
chroma_4_std,0.0036290511
chroma_6_std,0.0035891256
chroma_10_std,0.003519232
chroma_9_mean,0.0028321096
mfcc_7_std,0.00264496
